name,female,male,year
Abdulqadir,0,12,2016
Abdulrahim,0,22,2016
Abdulrahman,0,106,2016
Abdulrazak,0,11,2016
Abdulrazzak,0,3,2016
Abdulrazzaq,0,4,2016
Abdulrehman,0,3,2016
Abdulrezak,0,3,2016
Abdulsalam,0,18,2016
Abdulsamad,0,3,2016
Abdulsamet,0,6,2016
Abdulsattar,0,4,2016
Abdulselam,0,10,2016
Abdulsukur,0,3,2016
Abdulvahap,0,8,2016
Abdulvait,0,6,2016
Abdulveap,0,4,2016
Abdulwahab,0,15,2016
Abdulwahid,0,3,2016
Abduqadir,0,3,2016
Abdur,0,14,2016
Abdurahim,0,19,2016
Abdurahman,0,58,2016
Abduraim,0,3,2016
Abduraman,0,8,2016
Abdurezak,0,7,2016
Abdurrahim,0,26,2016
Abdurrahman,0,104,2016
Abdus,0,3,2016
Abduselam,0,12,2016
Abdyl,0,23,2016
Abdylaziz,0,3,2016
Abdül,0,3,2016
Abdülhamid,0,4,2016
Abdülkadir,0,11,2016
Abdülkerim,0,5,2016
Abe,0,3,2016
Abeba,72,0,2016
Abebaw,0,3,2016
Abebe,0,13,2016
Abebech,6,0,2016
Abed,0,41,2016
Abedin,0,161,2016
Abedom,0,3,2016
Abeena,3,0,2016
Abeer,38,0,2016
Abeesan,0,3,2016
Abegail,5,0,2016
Abel,0,726,2016
Abelardo,0,17,2016
Abele,0,24,2016
Abelia,3,0,2016
Abelina,7,0,2016
Abeline,3,0,2016
Abem,0,3,2016
Abena,13,0,2016
Abenaya,4,0,2016
Abenezer,0,11,2016
Abera,0,3,2016
Aberash,5,0,2016
Abesa,3,0,2016
Abeselom,0,4,2016
Abetare,45,0,2016
Abha,6,0,2016
Abhay,0,8,2016
Abhigyan,0,3,2016
Abhijeet,0,3,2016
Abhijit,0,14,2016
Abhik,0,4,2016
Abhilash,0,10,2016
Abhilasha,5,0,2016
Abhimanyu,0,11,2016
Abhinav,0,17,2016
Abhiraj,0,3,2016
Abhiram,0,4,2016
Abhishek,0,56,2016
Abi,8,12,2016
Abia,3,0,2016
Abib,0,15,2016
Abiba,8,0,2016
Abibatou,3,0,2016
Abibe,63,0,2016
Abid,0,40,2016
Abida,25,0,2016
Abidan,0,3,2016
Abide,20,0,2016
Abidin,0,77,2016
Abiel,0,57,2016
Abier,3,0,2016
Abigael,33,0,2016
Abigaelle,16,0,2016
Abigail,330,0,2016
Abigale,3,0,2016
Abigayl,4,0,2016
Abigayle,3,0,2016
Abigaël,58,0,2016
Abigaëlle,55,0,2016
Abigaïl,33,0,2016
Abigel,3,0,2016
Abigél,3,0,2016
Abija,4,0,2016
Abil,0,15,2016
Abilas,0,5,2016
Abilash,0,20,2016
Abilino,0,3,2016
Abilio,0,284,2016
Abilj,0,7,2016
Abim,0,4,2016
Abimbola,0,4,2016
Abina,33,0,2016
Abinaash,0,4,2016
Abinaja,6,0,2016
Abinan,0,4,2016
Abinas,0,3,2016
Abinasch,0,3,2016
Abinash,0,19,2016
Abinaya,82,0,2016
Abinayan,0,12,2016
Abinesh,0,11,2016
Abiodun,0,3,2016
Abiola,5,0,2016
Abip,0,7,2016
Abir,73,7,2016
Abira,21,0,2016
Abiraa,4,0,2016
Abiraam,0,5,2016
Abiraami,5,0,2016
Abiraj,0,5,2016
Abiram,0,16,2016
Abirami,38,0,2016
Abiramy,18,0,2016
Abiran,0,4,2016
Abire,4,0,2016
Abisa,10,0,2016
Abisan,0,17,2016
Abisana,5,0,2016
Abisanth,0,9,2016
Abish,0,6,2016
Abisha,41,0,2016
Abishaa,3,0,2016
Abishan,0,44,2016
Abishana,17,0,2016
Abishanth,0,10,2016
Abishek,0,27,2016
Abisheka,4,0,2016
Abison,0,3,2016
Abit,0,7,2016
Abitha,9,0,2016
Abithan,0,6,2016
Abiy,0,3,2016
Abiye,0,3,2016
Abla,30,0,2016
Ablavi,15,0,2016
Ablawa,3,0,2016
Ablel,0,13,2016
Ablelom,0,6,2016
Ablewa,3,0,2016
Abner,0,9,2016
Abolfazl,0,23,2016
Abolghasem,0,5,2016
Abolghassem,0,3,2016
Abolhassan,0,3,2016
Abou,0,27,2016
Aboubacar,0,31,2016
Aboubakar,0,11,2016
Aboubaker,0,5,2016
Aboubakr,0,7,2016
Aboud,0,4,2016
Aboudou,0,3,2016
Abra,16,0,2016
Abraao,0,6,2016
Abraha,0,10,2016
Abrahale,0,7,2016
Abrahaley,0,10,2016
Abraham,0,535,2016
Abrahan,0,6,2016
Abram,0,17,2016
Abramo,0,34,2016
Abrar,13,16,2016
Abraão,0,3,2016
Abrehaley,0,3,2016
Abreham,0,6,2016
Abrehe,0,4,2016
Abrehet,52,0,2016
Abrham,0,18,2016
Abrhet,11,0,2016
Abriel,0,3,2016
Abril,22,0,2016
Absa,4,0,2016
Absara,3,0,2016
Absera,4,0,2016
